program,searcher,Instructions,CoveredInstr,UncoveredInstr,FullBranch,PartialBranch,TermExit,TermEarly,TermProgramError,NumStates,MallocUsage_B,Queries,WallTime_ms,SolverTime_ms
exp34_time_to_coverage,random-path,1649423,209,10,16,1,1028,106351,0,107379,2378672,833413,35968953.0,10259685
exp34_time_to_coverage,nurs:qc,1486203,209,10,16,1,1027,91212,0,92239,2384304,744261,32611521.0,9209621
exp34_time_to_coverage,nurs:covnew,1478330,209,10,16,1,1027,90709,0,91736,2384304,740415,32565027.0,9237850
exp34_time_to_coverage,nurs:md2u,1482450,209,10,16,1,1027,90983,0,92010,2384304,742464,32352548.0,9172410
exp34_time_to_coverage,default,1530096,209,10,16,1,1028,93294,0,94322,2374664,769597,32550783.0,8913672
exp35_tightening,dfs,380928,123,0,9,0,24576,0,0,24576,1156544,211236,3777407.0,1914344
exp35_tightening,bfs,380928,123,0,9,0,24576,0,0,24576,1156544,211236,3830704.0,1930074
exp35_tightening,random-path,380928,123,0,9,0,24576,0,0,24576,1166080,211236,4096454.0,2009659
exp35_tightening,nurs:qc,380928,123,0,9,0,24576,0,0,24576,1165256,211236,4230045.0,2020417
exp35_tightening,nurs:covnew,380928,123,0,9,0,24576,0,0,24576,1165256,211236,4262690.0,2038327
exp35_tightening,nurs:md2u,380928,123,0,9,0,24576,0,0,24576,1165256,211236,4240583.0,2020185
exp35_tightening,default,380928,123,0,9,0,24576,0,0,24576,1165200,211236,4261333.0,2010056
exp36_dependent_vars,dfs,258,123,0,8,0,16,0,0,16,1122344,141,79586.0,77205
exp36_dependent_vars,bfs,258,123,0,8,0,16,0,0,16,1122344,141,75853.0,73554
exp36_dependent_vars,random-path,258,123,0,8,0,16,0,0,16,1122344,141,73335.0,70868
exp36_dependent_vars,nurs:qc,258,123,0,8,0,16,0,0,16,1123872,141,74472.0,71812
exp36_dependent_vars,nurs:covnew,258,123,0,8,0,16,0,0,16,1123872,141,75532.0,72788
exp36_dependent_vars,nurs:md2u,258,123,0,8,0,16,0,0,16,1123872,141,77607.0,74802
exp36_dependent_vars,default,258,123,0,8,0,16,0,0,16,1123864,141,72341.0,69635
exp37_starvation,dfs,876429,126,0,9,0,36340,27,0,36367,1263696,474845,10018608.0,5540926
exp37_starvation,bfs,1547673,123,3,8,1,2,151851,0,151853,3385184,775919,45386184.0,13658344
exp37_starvation,random-path,1428287,123,3,8,1,2,108379,0,108381,2411136,708535,35251152.0,10489830
