program,searcher,CovI,States,Queries,SolverTime_us,WallTime_s,CompletedPaths,NumBranches
train_00815,nurs_md2u,963,1,6943,2,37889.0,0,116
train_00815,nurs_qc,963,1,6943,2,37843.0,0,116
train_00815,random-path,963,1,6943,1,35825.0,0,116
train_00914,bfs,945,2,6043895,3626298,10026949.0,0,117
train_00914,default,945,2,6020503,2852022,10028036.0,0,117
train_00914,dfs,939,2,7069299,2375749,10026863.0,0,117
train_00914,nurs_covnew,945,2,6022200,2855465,10028695.0,0,117
train_00914,nurs_md2u,945,2,5934728,2874965,10032502.0,0,117
train_00914,nurs_qc,945,2,6108571,2799699,10028220.0,0,117
train_00914,random-path,945,2,6386892,3016910,10027281.0,0,117
train_00915,bfs,994,3,6967,24745,61994.0,0,118
train_00915,default,994,3,6967,28383,68039.0,0,118
train_00915,dfs,994,3,6967,22699,59331.0,0,118
train_00915,nurs_covnew,994,3,6967,27629,66228.0,0,118
train_00915,nurs_md2u,994,3,6967,27414,65407.0,0,118
train_00915,nurs_qc,994,3,6967,23021,61348.0,0,118
train_00915,random-path,994,3,6967,21785,59856.0,0,118
train_00919,bfs,1054,7,7097,10541274,11054948.0,0,119
train_00919,default,1059,9,7179,10514314,11168445.0,0,119
train_00919,dfs,1052,6,7101,10267242,10895155.0,0,119
train_00919,nurs_covnew,1055,10,7191,10805278,11482115.0,0,119
train_00919,nurs_md2u,1055,10,7191,10877257,11543356.0,0,119
train_00919,nurs_qc,1054,9,7153,10809731,11548027.0,0,119
train_00919,random-path,1059,11,7310,11043700,11785134.0,0,119
train_01024,bfs,1020,1,84870,4,132153.0,0,124
train_01024,default,1020,1,84870,2,136013.0,0,124
train_01024,dfs,1020,1,84870,2,126585.0,0,124
train_01024,nurs_covnew,1020,1,84870,3,132590.0,0,124
train_01024,nurs_md2u,1020,1,84870,3,132284.0,0,124
train_01024,nurs_qc,1020,1,84870,3,131163.0,0,124
train_01024,random-path,1020,1,84870,3,126879.0,0,124
train_01025,bfs,1132,248,1121698,6276946,10100254.0,0,124
train_01025,default,1132,224,327306,7443622,10299270.0,0,124
train_01025,dfs,1132,252,1168449,6423535,10102600.0,0,124
train_01025,nurs_covnew,1132,203,200222,7948271,10274344.0,0,124
train_01025,nurs_md2u,1132,222,236957,7795618,10353497.0,0,124
train_01025,nurs_qc,1132,199,479866,7400297,10211861.0,0,124
train_01025,random-path,1132,224,863179,5484979,10097651.0,0,124
train_01027,bfs,932,1,9973044,2,10154372.0,0,127
train_01027,default,932,1,9156314,2,10152967.0,0,127
train_01027,dfs,932,1,9585635,3,10153323.0,0,127
train_01027,nurs_covnew,932,1,9231507,2,10153249.0,0,127
train_01027,nurs_md2u,932,1,9604476,2,10185212.0,0,127
train_01027,nurs_qc,932,1,9666138,3,10158520.0,0,127
train_01027,random-path,932,1,9862068,2,10151875.0,0,127
train_01033,bfs,993,2,7589863,1179348,10026976.0,0,143
train_01033,default,993,2,7351508,1144284,10028517.0,0,143
train_01033,dfs,950,2,7886121,1224742,10028477.0,0,143
train_01033,nurs_covnew,993,2,7194652,1128844,10028639.0,0,143
train_01033,nurs_md2u,993,2,7200518,1122244,10028655.0,0,143
train_01033,nurs_qc,993,2,7518870,1168095,10028986.0,0,143
train_01033,random-path,993,2,7787125,1211522,10027567.0,0,143
train_01035,bfs,1018,86,7557,3649045,3929834.0,0,118
train_01035,default,1018,86,7557,3718885,4002195.0,0,118
train_01035,dfs,1018,86,7557,3885836,4175285.0,0,118
train_01035,nurs_covnew,1018,86,7557,4138944,4421249.0,0,118
train_01035,nurs_md2u,1018,86,7557,3810411,4093336.0,0,118
train_01035,nurs_qc,1018,86,7557,3520048,3811970.0,0,118
train_01035,random-path,1018,86,7557,3919867,4217293.0,0,118
